LED_0,LED_1,LED_2,LED_3,LED_4,LED_5,LED_6,LED_7,LED_8,LED_9,LED_10,LED_11,t
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,4,0","0,11,0","0,7,0","0,0,17","0,0,18","0,0,22","0,0,16",2.4
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,9,0","0,6,0","0,0,15","0,0,15","0,0,18","0,0,14",2.4166666666666665
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,3,0","0,7,0","0,5,0","0,0,12","0,0,12","0,0,16","0,0,12",2.433333333333333
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,6,0","0,4,0","0,0,10","0,0,10","0,0,13","0,0,9",2.45
"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,2,0","0,5,0","0,4,0","0,0,8","0,0,10","0,0,14","0,0,12",2.466666666666667
"0,0,0","0,0,0","1,0,0","3,0,0","0,4,0","0,4,0","0,7,0","0,6,0","0,0,14","0,0,19","0,0,33","0,0,27",2.4833333333333334
"1,0,0","2,0,0","1,0,0","2,0,0","0,3,0","0,4,0","0,7,0","0,5,0","0,0,13","0,0,18","0,0,34","0,0,24",2.5
"2,0,0","1,0,0","1,0,0","2,0,0","0,3,0","0,3,0","0,6,0","0,5,0","0,0,12","0,0,19","0,0,30","0,0,22",2.5166666666666666
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,3,0","0,5,0","0,4,0","0,0,10","0,0,17","0,0,27","0,0,20",2.533333333333333
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,3,0","0,4,0","0,4,0","0,0,10","0,0,16","0,0,27","0,0,18",2.55
"1,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,2,0","0,4,0","0,3,0","0,0,9","0,0,15","0,0,25","0,0,17",2.566666666666667
"2,0,0","1,0,0","0,0,0","1,0,0","0,2,0","0,2,0","0,4,0","0,3,0","0,0,9","0,0,13","0,0,24","0,0,16",2.5833333333333335
"1,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,2,0","0,3,0","0,3,0","0,0,8","0,0,12","0,0,21","0,0,14",2.6
"2,0,0","1,0,0","0,0,0","0,0,0","0,2,0","0,2,0","0,2,0","0,2,0","0,0,7","0,0,12","0,0,19","0,0,13",2.6166666666666667
"3,0,0","1,0,0","0,0,0","0,0,0","0,1,0","0,1,0","0,2,0","0,2,0","0,0,7","0,0,11","0,0,18","0,0,11",2.6333333333333333
"4,0,0","1,0,0","1,0,0","0,0,0","0,3,0","0,5,0","0,6,0","0,4,0","0,0,11","0,0,18","0,0,38","0,0,34",2.65
"11,0,0","2,0,0","1,0,0","0,0,0","0,7,0","0,9,0","0,11,0","0,11,0","0,0,19","0,0,24","0,0,46","0,0,38",2.6666666666666665
"10,0,0","2,0,0","1,0,0","0,0,0","0,20,0","0,45,0","0,25,0","0,16,0","0,0,26","0,0,39","0,0,59","0,0,37",2.683333333333333
"8,0,0","1,0,0","1,0,0","1,0,0","0,23,0","0,78,0","0,53,0","0,28,0","0,0,36","0,0,46","0,0,64","0,0,31",2.7
"6,0,0","2,0,0","2,0,0","1,0,0","0,25,0","0,68,0","0,58,0","0,34,0","0,0,53","0,0,46","0,0,63","0,0,27",2.716666666666667
"6,0,0","1,0,0","2,0,0","1,0,0","0,21,0","0,58,0","0,67,0","0,36,0","0,0,50","0,0,44","0,0,55","0,0,24",2.7333333333333334
"6,0,0","2,0,0","1,0,0","0,0,0","0,19,0","0,51,0","0,55,0","0,30,0","0,0,42","0,0,38","0,0,48","0,0,20",2.75
"5,0,0","1,0,0","1,0,0","0,0,0","0,17,0","0,42,0","0,50,0","0,25,0","0,0,37","0,0,33","0,0,40","0,0,17",2.7666666666666666
"4,0,0","1,0,0","1,0,0","0,0,0","0,15,0","0,37,0","0,44,0","0,22,0","0,0,31","0,0,28","0,0,35","0,0,14",2.783333333333333
"3,0,0","1,0,0","1,0,0","1,0,0","0,12,0","0,30,0","0,37,0","0,21,0","0,0,31","0,0,26","0,0,31","0,0,15",2.8
"5,0,0","1,0,0","1,0,0","0,0,0","0,14,0","0,25,0","0,33,0","0,20,0","0,0,37","0,0,32","0,0,34","0,0,21",2.816666666666667
"5,0,0","2,0,0","1,0,0","0,0,0","0,23,0","0,26,0","0,29,0","0,19,0","0,0,39","0,0,34","0,0,38","0,0,21",2.8333333333333335
